date,nifty_close,india_vix,nifty_bank_close,nifty_it_close,nifty_pharma_close,nifty_auto_close,fii_net,dii_net,pcr,flow_div_raw,flow_div_pct,pcr_dev_raw,pcr_dev_pct,realized_vol,vol_spread_raw,vol_spread_pct
2015-05-11,8325.25,18.6299991607666,18199.5390625,11324.5498046875,12317.5,8427.5498046875,-991.87,636.15,1.015,-1628.02,,1.5233494353153003,,0.2274539188604628,-0.04115392725279676,
2015-05-13,8235.4501953125,20.690000534057617,18097.23828125,11170.5,12261.400390625,8413.400390625,-71.2,254.0,0.9474,-325.2,,0.7380320478609347,,0.22002026318204967,-0.013120257841473498,
2015-05-14,8224.2001953125,20.700000762939453,18115.98828125,11093.599609375,12238.7998046875,8485.5,-73.76,302.57,0.9106,-376.33,,0.31604005841045657,,0.21996128134341042,-0.012961273714015897,
2015-05-15,8262.349609375,19.81999969482422,18182.939453125,11171.900390625,12294.650390625,8539.5498046875,-38.31,563.6,0.9203,-601.9100000000001,,0.39335895866854126,,0.2067195326238456,-0.008519535675603401,
2015-05-18,8373.650390625,17.899999618530273,18422.734375,11279.4501953125,12486.0,8600.0498046875,-202.12,618.54,1.0089,-820.66,,1.265063606957675,,0.2121206936654701,-0.033120697480167355,
2015-05-19,8365.650390625,18.270000457763672,18380.1875,11372.2001953125,12502.349609375,8531.2998046875,48.06,451.02,0.9844,-402.96,,0.9384934449839768,,0.2093252122075885,-0.026625207629951797,
2015-05-20,8423.25,17.719999313354492,18554.935546875,11571.7001953125,12537.0498046875,8484.7998046875,123.49,103.58,1.04,19.909999999999997,,1.4210513309223713,,0.20963049671530085,-0.03243050358175592,
2015-05-21,8421.0,17.40999984741211,18512.935546875,11618.599609375,12554.75,8549.599609375,-186.26,404.01,1.0658,-590.27,,1.5551304615598602,,0.2047355288843988,-0.030635530410277723,
2015-05-22,8458.9501953125,16.950000762939453,18433.0859375,11728.400390625,12690.099609375,8581.650390625,211.42,237.62,1.0666,-26.200000000000017,,1.4514035560833531,,0.20231435707633327,-0.03281434944693873,
2015-05-25,8370.25,16.93000030517578,18324.63671875,11623.349609375,12617.5498046875,8565.099609375,74.14,0.17,0.9862,73.97,,0.6083804661771011,,0.19492774251833375,-0.025627739466575927,
2015-05-26,8339.349609375,17.06999969482422,18329.087890625,11581.900390625,12559.0498046875,8548.150390625,114.81,123.85,0.945,-9.039999999999992,,0.16179722149146383,,0.19311567019221523,-0.022415673243973033,
