date,pcr
2016-11-10,0.8986
2016-11-11,0.7581
2016-11-15,0.6726
2016-11-16,0.6897
2016-11-17,0.697
2016-11-18,0.6966
2016-11-21,0.644
2016-11-22,0.6672
2016-11-23,0.6878
2016-11-24,0.9118
2016-11-25,0.9296
2016-11-28,0.9331
2016-11-29,0.9425
2016-11-30,1.0261
2016-12-01,1.0027
2016-12-02,0.9719
2016-12-05,0.9706
2016-12-06,0.9514
2016-12-07,0.9398
2016-12-08,1.023
2016-12-09,1.0483
2016-12-12,0.9948
2016-12-13,1.0078
2016-12-14,0.9937
2016-12-15,0.9744
2016-12-16,0.9489
2016-12-19,0.9193
2016-12-20,0.874
2016-12-21,0.884
2016-12-22,0.8463
2016-12-23,0.8577
2016-12-26,0.7775
2016-12-27,0.881
2016-12-28,0.901
2016-12-29,0.9833
2016-12-30,1.0115
2017-01-02,0.9949
2017-01-03,1.0043
2017-01-04,0.9587
2017-01-05,1.022
2017-01-06,1.0283
2017-01-09,1.014
2017-01-10,1.0297
2017-01-11,1.1306
2017-01-12,1.1038
2017-01-13,1.0921
2017-01-16,1.1198
2017-01-17,1.0833
2017-01-18,1.0716
2017-01-19,1.0732
2017-01-20,1.0072
2017-01-23,1.0531
2017-01-24,1.1318
2017-01-25,0.9698
2017-01-27,0.944
2017-01-30,0.9058
2017-01-31,0.8972
2017-02-01,0.9445
2017-02-02,0.9487
2017-02-03,0.975
2017-02-06,0.9867
2017-02-07,0.9703
2017-02-08,0.9555
2017-02-09,0.9763
2017-02-10,0.9629
2017-02-13,0.9594
2017-02-14,0.9469
2017-02-15,0.8922
2017-02-16,0.9333
2017-02-17,0.9793
2017-02-20,1.0216
2017-02-21,1.0667
2017-02-22,1.0522
2017-02-23,0.9331
2017-02-27,0.8879
2017-02-28,0.8796
2017-03-01,0.9041
2017-03-02,0.8779
2017-03-03,0.8559
2017-03-06,0.8626
2017-03-07,0.8508
2017-03-08,0.8384
2017-03-09,0.8198
2017-03-10,0.7902
2017-03-14,0.8555
2017-03-15,0.9143
2017-03-16,0.9593
2017-03-17,0.9811
2017-03-20,0.9387
2017-03-21,0.8966
2017-03-22,0.8397
2017-03-23,0.9112
2017-03-24,0.9234
2017-03-27,0.9071
2017-03-28,0.9545
2017-03-29,1.0154
2017-03-30,0.9224
2017-03-31,0.8968
2017-04-03,0.9561
2017-04-05,0.9944
2017-04-06,0.9686
2017-04-07,0.9194
2017-04-10,0.9431
2017-04-11,1.0206
2017-04-12,0.9834
2017-04-13,0.9631
2017-04-17,0.9499
2017-04-18,0.9343
2017-04-19,0.9038
2017-04-20,0.9428
2017-04-21,0.9096
2017-04-24,1.0286
2017-04-25,1.0955
2017-04-26,1.1547
2017-04-27,1.0245
2017-04-28,1.025
2017-05-02,1.0146
2017-05-03,0.9958
2017-05-04,1.065
2017-05-05,0.9914
2017-05-08,1.004
2017-05-09,0.9944
2017-05-10,1.0611
2017-05-11,1.073
2017-05-12,1.0271
2017-05-15,1.0391
2017-05-16,1.1128
2017-05-17,1.1422
2017-05-18,1.0294
2017-05-19,1.0008
2017-05-22,0.957
2017-05-23,0.9438
2017-05-24,0.9176
2017-05-25,1.0117
2017-05-26,1.0416
2017-05-29,1.0182
2017-05-30,1.0325
2017-05-31,1.0678
2017-06-01,1.0127
2017-06-02,1.0124
2017-06-05,1.0459
2017-06-06,1.045
2017-06-07,1.0774
2017-06-08,1.0486
2017-06-09,1.0739
2017-06-12,1.0029
2017-06-13,1.0
2017-06-14,1.0417
2017-06-15,0.9993
2017-06-16,0.9917
2017-06-19,1.0584
2017-06-20,1.0503
2017-06-21,1.048
2017-06-22,1.0254
2017-06-23,0.9525
2017-06-27,0.8563
2017-06-28,0.8773
2017-06-29,1.0769
2017-06-30,1.0554
2017-07-03,1.0911
2017-07-04,1.072
2017-07-05,1.1464
2017-07-06,1.1734
2017-07-07,1.1522
2017-07-10,1.212
2017-07-11,1.1828
2017-07-12,1.2337
2017-07-13,1.2479
2017-07-14,1.2754
2017-07-17,1.285
2017-07-18,1.1689
2017-07-19,1.231
2017-07-20,1.1254
2017-07-21,1.1522
2017-07-24,1.2247
2017-07-25,1.25
2017-07-26,1.3545
2017-07-27,1.1815
2017-07-28,1.1025
2017-07-31,1.1304
2017-08-01,1.1093
2017-08-02,1.0345
2017-08-03,1.0309
2017-08-04,1.0749
2017-08-07,1.0533
2017-08-08,0.9354
2017-08-09,0.8837
2017-08-10,0.9247
2017-08-11,0.8883
2017-08-14,0.9246
2017-08-16,0.9953
2017-08-17,0.988
2017-08-18,0.9357
2017-08-21,0.8755
2017-08-22,0.8998
