date,fii_net,dii_net
2016-10-13,-911.53,679.49
2016-10-14,-946.42,556.9
2016-10-17,-456.64,235.57
2016-10-18,345.04,173.36
2016-10-19,-282.77,724.64
2016-10-20,7.3,583.22
2016-10-21,-272.91,500.37
2016-10-24,-325.13,333.26
2016-10-25,-606.34,389.11
2016-10-26,-1450.65,989.46
2016-10-27,-469.93,856.5
2016-10-28,-777.58,1124.08
2016-10-30,-106.77,13.15
2016-11-01,-1319.24,900.99
2016-11-02,-1112.66,1222.12
2016-11-03,378.36,-432.81
2016-11-05,-362.19,729.59
2016-11-07,1055.8,-610.57
2016-11-08,608.35,-621.65
2016-11-11,-1493.27,64.72
2016-11-15,-2353.82,-104.83
2016-11-16,-1957.04,2344.31
2016-11-17,-983.93,1144.15
2016-11-18,-926.32,1143.44
2016-11-21,-1310.82,1211.01
2016-11-22,-692.85,1075.2
2016-11-23,-1023.12,1254.67
2016-11-24,-2010.15,1648.22
2016-11-25,-372.88,997.84
2016-11-28,-1436.4,1233.79
2016-11-29,-715.3,534.2
2016-11-30,-434.42,676.68
2016-12-01,-540.99,141.25
2016-12-02,-398.37,545.07
2016-12-05,24.14,258.35
2016-12-07,212.92,119.27
2016-12-08,1203.71,-392.47
2016-12-09,-593.61,-12.9
2016-12-12,-94.45,-266.2
2016-12-13,-2181.03,178.92
2016-12-14,-632.29,210.86
2016-12-15,-611.97,-177.48
2016-12-16,-90.36,30.48
2016-12-19,-535.77,556.36
2016-12-20,-685.93,418.93
2016-12-21,-1178.08,1057.96
2016-12-22,-614.4,319.79
2016-12-23,-1462.65,1614.94
2016-12-26,-1095.04,1065.39
2016-12-27,-712.17,1502.41
2016-12-28,-527.06,824.84
2016-12-29,-662.29,957.83
2016-12-30,-585.64,725.26
2017-01-02,92.73,1133.74
2017-01-03,-198.27,254.21
2017-01-06,-517.31,171.65
2017-01-08,-945.83,1390.65
2017-01-09,-832.81,731.72
2017-01-11,1038.31,-667.91
2017-01-12,306.11,176.19
2017-01-13,-117.59,-473.5
2017-01-16,-347.25,203.45
2017-01-17,142.21,-607.23
2017-01-19,-132.26,379.63
2017-01-20,-26.34,-175.48
2017-01-23,-288.8,519.99
2017-01-24,93.95,533.49
2017-01-25,1378.81,383.03
2017-01-27,211.77,482.52
2017-01-30,607.36,40.04
2017-01-31,-532.88,237.37
2017-02-01,-260.64,20.66
2017-02-02,108.59,-110.89
2017-02-03,122.94,-83.21
2017-02-05,-611.82,541.39
2017-02-06,-59.13,222.29
2017-02-08,473.72,-232.95
2017-02-11,1032.88,-456.51
2017-02-13,306.74,-171.7
2017-02-14,-6.45,-3.2
2017-02-15,225.84,248.98
2017-02-16,-215.69,846.11
2017-02-17,8043.14,-5631.99
2017-02-20,-433.38,827.9
2017-02-21,-1435.76,1535.44
2017-02-22,-259.21,917.97
2017-02-23,392.33,-445.04
2017-02-27,-145.55,263.79
2017-02-28,1146.23,268.34
2017-03-01,-500.49,562.27
2017-03-02,353.84,-42.53
2017-03-03,1529.48,-737.0
2017-03-04,534.45,33.29
2017-03-05,-517.74,112.36
2017-03-07,-804.67,954.34
2017-03-08,24.07,-389.34
2017-03-10,-693.03,1552.41
2017-03-11,-9690.84,33.4
2017-03-14,4087.89,-1519.94
2017-03-15,1141.13,126.75
2017-03-16,1360.1,-88.17
2017-03-17,1532.39,-711.5
2017-03-20,56.67,-536.21
2017-03-21,1662.72,-798.57
2017-03-22,356.64,-779.91
2017-03-23,1094.44,-590.78
2017-03-24,543.35,116.5
2017-03-27,577.88,-594.48
2017-03-28,6415.38,356.23
2017-03-29,460.98,1283.03
2017-03-30,67.97,1701.79
2017-03-31,-295.92,1499.41
2017-04-01,-800.71,427.09
2017-04-05,-601.12,926.1
2017-04-07,-834.36,295.88
2017-04-08,-853.8,1017.1
2017-04-09,-873.91,-49.1
2017-04-10,-632.14,584.88
2017-04-12,-333.59,776.18
2017-04-13,-407.88,65.43
2017-04-17,-250.54,-52.38
2017-04-18,-930.67,878.08
2017-04-19,-673.38,525.52
2017-04-20,-168.84,8.82
2017-04-21,-978.34,1132.39
2017-04-24,-279.55,984.17
2017-04-25,178.82,998.26
2017-04-26,-492.52,1011.38
2017-04-27,-181.71,233.31
2017-04-28,-1150.43,1684.44
2017-05-01,-86.88,449.07
2017-05-04,340.13,-194.05
2017-05-05,-363.98,298.11
2017-05-06,476.64,13.62
2017-05-07,227.57,75.36
2017-05-09,-379.16,474.36
2017-05-10,-656.5,519.03
2017-05-12,-1470.56,1074.39
2017-05-15,235.33,-65.77
2017-05-16,858.29,-401.89
2017-05-17,-731.39,614.51
2017-05-18,-360.59,897.96
2017-05-19,-988.7,349.21
2017-05-22,-321.27,1262.64
2017-05-23,-400.53,352.54
2017-05-24,81.88,197.31
2017-05-25,589.11,-236.44
2017-05-26,-274.14,1008.56
2017-05-29,-709.97,290.53
2017-05-30,-217.1,366.97
2017-05-31,1048.93,-939.54
2017-06-01,-255.21,165.29
2017-06-02,-403.52,449.52
2017-06-03,564.15,-481.96
2017-06-04,142.68,-205.64
2017-06-06,61.16,-360.01
2017-06-07,-15.29,315.95
2017-06-09,-1353.02,51.57
2017-06-10,-1040.4,1239.74
2017-06-11,576.27,-263.84
2017-06-12,-1217.92,995.11
2017-06-13,-312.4,304.58
2017-06-14,-161.13,71.65
2017-06-15,-645.35,854.85
2017-06-16,-764.48,890.91
2017-06-19,-250.39,529.9
2017-06-20,-312.84,477.13
2017-06-21,-152.82,-41.39
2017-06-22,192.68,455.21
2017-06-23,269.95,-45.78
2017-06-28,-469.09,168.97
2017-06-29,-1140.77,600.23
2017-06-30,-160.48,1195.71
2017-07-02,201.13,1620.03
2017-07-03,920.46,-1073.75
2017-07-04,-262.37,414.94
2017-07-06,73.79,166.22
2017-07-07,-522.08,720.08
2017-07-08,-199.21,308.15
2017-07-09,-564.0,245.32
2017-07-11,461.47,-2046.07
2017-07-12,-1075.62,926.68
2017-07-13,-59.15,279.13
